Alignment_w_Promulgation_of_Command_Priorites,Any_issues,Average_Rating,Blanking_1_shown_data_don_t_show_this_data_i_e_blank,Cash,Cash_Awards_Bins,Cash_Bins,Cash_Provided,Critical_Thinking_Innovation,Deliver_Results,Employee_Lname_Fname,Employee_Salary,Engagement_Collaboration,Grade,HLR_Lname,ID,Leading_People_Leading_Change,Notes,Org,Overall_Rating,QSI,QSI_Approved,Rater_Lname,Series,Step,Supervisor_Employee,TOA,TOA_Bins,TOA_Provide,TOA_Range_Guidance,Technical_Competence,Total_Award,Within_Guidance,of_Annual_Salary_Cash_Award_Range_Guidance
3,Total Award too High,3.4,1,1858, $1000-2000 , 1-2% ,1.64,5,3,ALAN ZERO,113362,3,12,JOSEPH QUENGA,0031H00001rEkshQAC,,,G4,Level 3 - Fully Successful,No,,EMPLOYEVANTIZE LAROSEE 154,0801,10,Employee,,"  0 hours, (0%)  ",,0 - 30,3,1.639,No,1.1 - 1.5
3,Total Award too Low,3.8,1,,   $0   ,  0%  ,,3,5,ANDREW KNUDSON,98827,3,12,JOSEPH QUENGA,0031H00001rEksjQAC,,prorated 32 weeks EOD Aug 20,G4,Level 3 - Fully Successful,No,,EMPLOYEVANTIZE LAROSEE 155,0346,05,Employee,25,"20-30 hours, (1-1.5%)",1.25,0 - 40,5,1.25,No,1.6 - 2.5
3,Total Award too High,3.4,1,1573, $1000-2000 , 2-3% ,2.22,3,3,TARA JACKSON,70775,3,08,JOSEPH QUENGA,0031H00001rEksiQAC,,,G4,Level 3 - Fully Successful,No,,NICOLASA HERNANDEZ,0801,10,Employee,,"  0 hours, (0%)  ",,0 - 30,5,2.22254,No,1.1 - 1.5
3,Total Award too High,3.8,1,2937, $2000-3000 ,>4%,4.15,3,5,JENNY MARTIS,70775,3,08,JOSEPH QUENGA,0031H00001rEkskQAC,,,G4,Level 3 - Fully Successful,No,,NICOLASA HERNANDEZ,0346,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,4.14977,No,1.6 - 2.5
3,Total Award too Low,3.8,1,2260, $2000-3000 , 1-2% ,1.46,3,5,ANDREW MATTHEWS,155202,3,14,JOSEPH QUENGA,0031H00001rEkslQAC,,,G4,Level 3 - Fully Successful,No,,NICOLASA HERNANDEZ,0346,09,Employee,,"  0 hours, (0%)  ",,0 - 40,5,1.45617,No,1.6 - 2.5
5,No issues,5,1,,   $0   ,  0%  ,,5,5,SLADE SHADLE,138866,5,14,RAY HENRY,0031H00001rEkoCQAS,5,,G6,Level 5 - Outstanding,Yes,Yes,KEYANNA SPEARS,2210,05,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,3,Yes,4.1 - 4.5
3,No issues,3,1,1470, $1000-2000 , <1% ,1,3,3,TERRY BOWLES,147034,3,14,RAY HENRY,0031H00001rEkoDQAS,3,,G6,Level 3 - Fully Successful,No,,KEYANNA SPEARS,2210,07,Supervisor,,"  0 hours, (0%)  ",,0 - 20,,0.99977,Yes,0.0 - 1.0
3,No issues,4.6,1,5253,>$5000, 3-4% ,3.67,5,5,DANIEL BIDETTI,142950,5,14,RAY HENRY,0031H00001rEkrYQAS,,,G6,Level 5 - Outstanding,No,,KEYANNA SPEARS,2210,06,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.67471,Yes,3.6 - 4.0
3,No issues,3.4,1,1700, $1000-2000 , 1-2% ,1.26,3,3,CHIRIGA WILSON,134798,3,13,MARK TATE,0031H00001rEkrSQAS,,,G6,Level 3 - Fully Successful,No,,RONALD LOOMIS,2210,10,Employee,,"  0 hours, (0%)  ",,0 - 30,5,1.26115,Yes,1.1 - 1.5
5,No issues,5,1,,   $0   ,  0%  ,,5,5,ISAAC WILSON,120972,5,13,MARK TATE,0031H00001rEkrTQAS,,,G6,Level 5 - Outstanding,Yes,Yes,RONALD LOOMIS,2210,06,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3,Yes,4.1 - 4.5
3,No issues,3.8,1,2092, $2000-3000 , 1-2% ,1.78,3,5,XIN XIA,117516,5,13,MARK TATE,0031H00001rEkrUQAS,,,G6,Level 3 - Fully Successful,No,,JUAN AVALOS,0343,05,Employee,,"  0 hours, (0%)  ",,0 - 40,3,1.78018,Yes,1.6 - 2.5
5,No issues,3.4,1,1418, $1000-2000 , 1-2% ,1.21,3,3,ABEL YOUNG,117516,3,13,MARK TATE,0031H00001rEkrVQAS,,,G6,Level 3 - Fully Successful,No,,JUAN AVALOS,2210,05,Employee,,"  0 hours, (0%)  ",,0 - 30,3,1.20664,Yes,1.1 - 1.5
3,Total Award too Low,3.8,1,1794, $1000-2000 , 1-2% ,1.22,3,3,ALEX ZOTOMAYOR,147034,5,14,MARK TATE,0031H00001rEkrWQAS,,,G6,Level 3 - Fully Successful,No,,JUAN AVALOS,2210,07,Employee,,"  0 hours, (0%)  ",,0 - 40,5,1.22013,No,1.6 - 2.5
5,Total Award too Low,5,1,3103, $3000-4000 , 2-3% ,2.11,5,5,STACY MOUZON,147034,5,14,MARK TATE,0031H00001rEkrXQAS,,,G6,Level 5 - Outstanding,No,,JUAN AVALOS,0344,07,Employee,,"  0 hours, (0%)  ",,0 - 40,5,2.1104,No,4.1 - 4.5
5,Total Award too High,5,1,10500,>$5000,>4%,7.99,5,5,JEFFREY CHAMBERLAIN,131341,5,13,RAY HENRY,0031H00001rEkrZQAS,5,exception over 4.5%,G8,Level 5 - Outstanding,No,,CHRISTOPHER KARR,0501,09,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,7.99446,No,4.1 - 4.5
5,No issues,5,1,,   $0   ,  0%  ,,5,5,CAITLYN BAKER,113362,5,12,JOSEPH QUENGA,0031H00001rEkrjQAC,5,,G8,Level 5 - Outstanding,Yes,Yes,AVASINA MAIFEA,0343,10,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,3,Yes,4.1 - 4.5
5,Total Award too High,4.6,1,5500,>$5000,>4%,5.11,3,5,Woodson Martin,107548,5,12,JOSEPH QUENGA,0031H00001rD1d1QAC,5,,G8,Level 5 - Outstanding,No,,AVASINA MAIFEA,0501,08,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,5.114,No,3.6 - 4.0
5,Total Award too High,5,1,3950, $3000-4000 , 3-4% ,3.77,5,5,Larry Kuchenreuther,104641,5,12,JOSEPH QUENGA,0031H00001rD1dgQAC,,,G8,Level 5 - Outstanding,No,,AVASINA MAIFEA,0560,07,Employee,40,"40 hours, (2%)",2,0 - 40,5,5.77481,No,4.1 - 4.5
3,Total Award too High,4.6,1,6000,>$5000,>4%,6.34,5,5,Kyle Pearson,94581,5,11,JOSEPH QUENGA,0031H00001rD1doQAC,,,G8,Level 5 - Outstanding,No,,AVASINA MAIFEA,0560,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,6.34377,No,3.6 - 4.0
3,Total Award too High,4.2,1,4800, $4000-5000 ,>4%,5.35,3,5,Antony Passemard,89730,5,11,JOSEPH QUENGA,0031H00001rD1d2QAC,,,G8,Level 3 - Fully Successful,No,,Ed Flachbarth,0560,08,Employee,,"  0 hours, (0%)  ",,0 - 40,5,5.34938,No,2.6 - 3.5
3,Total Award too High,4.6,1,2750, $2000-3000 , 3-4% ,3.99,5,5,Ed Hennessy,68960,5,08,JOSEPH QUENGA,0031H00001rD1d3QAC,,,G8,Level 5 - Outstanding,No,,Ed Flachbarth,0560,09,Employee,40,"40 hours, (2%)",2,0 - 40,5,5.98782,No,3.6 - 4.0
5,Total Award too Low,4.6,1,5400,>$5000, 3-4% ,3.13,3,5,Robert Janzen,172500,5,15,JOSEPH QUENGA,0031H00001rD1diQAC,,,G8,Level 5 - Outstanding,No,,Ed Flachbarth,0560,07,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.13043,No,3.6 - 4.0
5,No issues,5,1,,   $0   ,  0%  ,,5,5,Tammy Baxter,138866,5,14,JOSEPH QUENGA,0031H00001rD1djQAC,,,G8,Level 5 - Outstanding,Yes,Yes,Ed Flachbarth,0560,05,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3,Yes,4.1 - 4.5
5,No issues,5,1,,   $0   ,  0%  ,,5,5,David Homme,138866,5,14,JOSEPH QUENGA,0031H00001rD1drQAC,,,G8,Level 5 - Outstanding,Yes,Yes,Ed Flachbarth,0560,05,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3,Yes,4.1 - 4.5
5,Total Award too Low,4.6,1,5300,>$5000, 3-4% ,3.33,5,5,Thomas Green,159286,3,14,JOSEPH QUENGA,0031H00001rD1dsQAC,,,G8,Level 5 - Outstanding,No,,Ed Flachbarth,0343,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.32735,No,3.6 - 4.0
5,Total Award too Low,4.6,1,4800, $4000-5000 , 3-4% ,3.01,3,5,EMMANUEL NNEJI,159286,5,14,JOSEPH QUENGA,0031H00001rEksmQAC,,,G8,Level 5 - Outstanding,No,,Ed Flachbarth,0560,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.01345,No,3.6 - 4.0
5,Total Award too Low,4.6,1,4900, $4000-5000 , 3-4% ,3.08,3,5,DANA PLUMMER,159286,5,14,JOSEPH QUENGA,0031H00001rEksnQAC,,,G8,Level 5 - Outstanding,No,,Ed Flachbarth,0343,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.07623,No,3.6 - 4.0
5,Total Award too Low,5,1,5500,>$5000, 3-4% ,3.85,5,5,MARGOT SINTICASTILLO,142950,5,14,JOSEPH QUENGA,0031H00001rEksoQAC,,,G8,Level 5 - Outstanding,No,,Ed Flachbarth,0501,06,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.8475,No,4.1 - 4.5
5,No issues,4.6,1,2500, $2000-3000 , 1-2% ,1.8,5,5,MONICA SOTOBENAVIDES,138866,3,14,JOSEPH QUENGA,0031H00001rEkspQAC,,,G8,Level 5 - Outstanding,No,,Ed Flachbarth,0510,05,Employee,40,"40 hours, (2%)",2,0 - 40,5,3.8003,Yes,3.6 - 4.0
5,No issues,4.6,1,4900, $4000-5000 , 3-4% ,3.64,3,5,SCOTT STANLEY,134782,5,14,JOSEPH QUENGA,0031H00001rEksqQAC,,,G8,Level 5 - Outstanding,No,,Ed Flachbarth,0343,04,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.6355,Yes,3.6 - 4.0
3,No issues,4.6,1,4950, $4000-5000 , 3-4% ,3.91,5,5,ROBERTO VILLARAN,126614,5,14,JOSEPH QUENGA,0031H00001rEkssQAC,,,G8,Level 5 - Outstanding,No,,Ed Flachbarth,0501,02,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.90952,Yes,3.6 - 4.0
5,No issues,4.6,1,4900, $4000-5000 , 3-4% ,3.64,5,5,BISIOYE BOLARINWA,134798,3,13,JOSEPH QUENGA,0031H00001rEksuQAC,,,G8,Level 5 - Outstanding,No,,Ed Flachbarth,0501,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.63507,Yes,3.6 - 4.0
5,Total Award too Low,5,1,5300,>$5000,>4%,4.04,5,5,JOSIEL CARRASQUILLOMORALES,131341,5,13,JOSEPH QUENGA,0031H00001rEkraQAC,,,G8,Level 5 - Outstanding,No,,CHRISTOPHER BALLESTEROS,0510,09,Employee,,"  0 hours, (0%)  ",,0 - 40,5,4.0353,No,4.1 - 4.5
5,Total Award too Low,4.6,1,4400, $4000-5000 , 3-4% ,3.44,3,5,KEVIN COTMAN,127885,5,13,JOSEPH QUENGA,0031H00001rEkrbQAC,,,G8,Level 5 - Outstanding,No,,CHRISTOPHER BALLESTEROS,0560,08,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.44059,No,3.6 - 4.0
5,No issues,5,1,5250,>$5000,>4%,4.11,5,5,ANDERSON MATTHEWS,127885,5,13,JOSEPH QUENGA,0031H00001rEkrcQAC,,,G8,Level 5 - Outstanding,No,,CHRISTOPHER BALLESTEROS,0501,08,Employee,,"  0 hours, (0%)  ",,0 - 40,5,4.10525,Yes,4.1 - 4.5
5,No issues,3.8,1,2900, $2000-3000 , 2-3% ,2.27,5,3,CRAIG SIMONSGAARD,127885,3,13,JOSEPH QUENGA,0031H00001rEkrdQAC,,,G8,Level 3 - Fully Successful,No,,CHRISTOPHER BALLESTEROS,0560,08,Employee,,"  0 hours, (0%)  ",,0 - 40,3,2.26766,Yes,1.6 - 2.5
5,No issues,4.6,1,4500, $4000-5000 , 3-4% ,3.62,3,5,ALEXANDER YEE,124428,5,13,JOSEPH QUENGA,0031H00001rEkreQAC,,,G8,Level 5 - Outstanding,No,,CHRISTOPHER BALLESTEROS,0560,07,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.61655,Yes,3.6 - 4.0
5,No issues,4.2,1,3900, $3000-4000 , 3-4% ,3.13,3,5,CARLTON DAVIS,124428,3,13,JOSEPH QUENGA,0031H00001rEkrfQAC,,,G8,Level 3 - Fully Successful,No,,CHRISTOPHER BALLESTEROS,0343,07,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.13434,Yes,2.6 - 3.5
5,No issues,4.6,1,2000,   $0   , 1-2% ,1.61,3,5,DANIEL LOCKERT,124428,5,13,JOSEPH QUENGA,0031H00001rEkrgQAC,,,G8,Level 5 - Outstanding,No,,CHRISTOPHER BALLESTEROS,0560,07,Employee,40,"40 hours, (2%)",2,0 - 40,5,3.60736,Yes,3.6 - 4.0
3,No issues,3,1,1050, $1000-2000 , <1% ,0.84,3,3,JOHNATHAN ALDRIDGE,124428,3,13,JOSEPH QUENGA,0031H00001rEkrhQAC,,,G8,Level 3 - Fully Successful,No,,CHRISTOPHER BALLESTEROS,0560,07,Employee,,"  0 hours, (0%)  ",,0 - 20,3,0.84386,Yes,0.0 - 1.0
5,Total Award too Low,5,1,4500, $4000-5000 , 3-4% ,3.72,5,5,PERRY ALEXANDER,120972,5,13,JOSEPH QUENGA,0031H00001rEkriQAC,,,G8,Level 5 - Outstanding,No,,CHRISTOPHER BALLESTEROS,0501,06,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.71987,No,4.1 - 4.5
3,No issues,4.2,1,1500, $1000-2000 , 1-2% ,1.24,5,3,TERRANCE BRANCH,120972,5,13,JOSEPH QUENGA,0031H00001rEkrkQAC,,,G8,Level 3 - Fully Successful,No,,CHRISTOPHER BALLESTEROS,0510,06,Employee,40,"40 hours, (2%)",2,0 - 40,5,3.23996,Yes,2.6 - 3.5
3,No issues,3,1,,   $0   ,  0%  ,,3,3,Bruce Watkins,117516,3,13,JOSEPH QUENGA,0031H00001rD1dhQAC,,no award given ,G8,Level 3 - Fully Successful,No,,CHRISTOPHER BALLESTEROS,0501,05,Employee,,"  0 hours, (0%)  ",,0 - 20,3,,Yes,0.0 - 1.0
3,No issues,3.8,1,2100, $2000-3000 , 1-2% ,1.84,3,3,Peter Houston,114059,5,13,JOSEPH QUENGA,0031H00001rD1dkQAC,,,G8,Level 3 - Fully Successful,No,,CHRISTOPHER BALLESTEROS,0510,04,Employee,,"  0 hours, (0%)  ",,0 - 40,5,1.84115,Yes,1.6 - 2.5
5,No issues,4.2,1,1500, $1000-2000 , 1-2% ,1.32,5,3,Judy Odom,114059,3,13,JOSEPH QUENGA,0031H00001rD1dlQAC,,,G8,Level 3 - Fully Successful,No,,CHRISTOPHER BALLESTEROS,0510,04,Employee,40,"40 hours, (2%)",2,0 - 40,5,3.31511,Yes,2.6 - 3.5
3,No issues,3.4,1,,   $0   ,  0%  ,,5,3,Jan Perkins,107146,3,13,JOSEPH QUENGA,0031H00001rD1dmQAC,,,G8,Level 3 - Fully Successful,No,,CHRISTOPHER BALLESTEROS,0501,02,Employee,22,"20-30 hours, (1-1.5%)",1.1,0 - 30,3,1.1,Yes,1.1 - 1.5
5,No issues,3.4,1,1300, $1000-2000 , 1-2% ,1.21,3,3,Rose Gonzalez,107146,3,13,JOSEPH QUENGA,0031H00001rD1dnQAC,,,G8,Level 3 - Fully Successful,No,,CHRISTOPHER BALLESTEROS,0501,02,Employee,,"  0 hours, (0%)  ",,0 - 30,3,1.2133,Yes,1.1 - 1.5
3,No issues,4.6,1,1800, $1000-2000 , 1-2% ,1.68,5,5,Allison Yates,107146,5,13,JOSEPH QUENGA,0031H00001rD1dpQAC,,,G8,Level 5 - Outstanding,No,,CHRISTOPHER BALLESTEROS,0501,02,Employee,40,"40 hours, (2%)",2,0 - 40,5,3.67995,Yes,3.6 - 4.0
5,No issues,4.6,1,1850, $1000-2000 , 1-2% ,1.77,3,5,Chris Templey,104641,5,12,JOSEPH QUENGA,0031H00001rD1dqQAC,,,G8,Level 5 - Outstanding,No,,CHRISTOPHER BALLESTEROS,0501,07,Employee,40,"40 hours, (2%)",2,0 - 40,5,3.76795,Yes,3.6 - 4.0
3,No issues,3,1,,   $0   ,  0%  ,,3,3,CHRISTOPHER SZKARADNIK,101734,3,12,JOSEPH QUENGA,0031H00001rEksrQAC,,,G8,Level 3 - Fully Successful,No,,CHRISTOPHER BALLESTEROS,0560,06,Employee,15,"10-20 hours, (0.5-1%)",0.75,0 - 20,3,0.75,Yes,0.0 - 1.0
3,No issues,3,1,,   $0   ,  0%  ,,3,3,JASON BAILOR,101734,3,12,JOSEPH QUENGA,0031H00001rEkstQAC,,,G8,Level 3 - Fully Successful,No,,CHRISTOPHER BALLESTEROS,0501,06,Employee,5," <10 hours, (<0.5%) ",0.25,0 - 20,3,0.25,Yes,0.0 - 1.0
3,No issues,4.2,1,1000,   $0   , <1% ,0.98,3,5,MARTIN CHAPIN,101734,5,12,JOSE VARGAS,0031H00001rEksvQAC,,,IG,Level 3 - Fully Successful,No,,FRED LOTT,1801,06,Employee,40,"40 hours, (2%)",2,0 - 40,5,2.98296,Yes,2.6 - 3.5
5,Total Award too High,5,1,6000,>$5000,>4%,5.9,5,5,JOSHUA CROSS,101734,5,12,JOSE VARGAS,0031H00001rEkswQAC,,,IG,Level 5 - Outstanding,No,,FRED LOTT,1801,06,Employee,,"  0 hours, (0%)  ",,0 - 40,5,5.89773,No,4.1 - 4.5
3,Total Award too High,4.2,1,4354, $4000-5000 ,>4%,4.41,3,5,DANIEL GAITAN,98827,5,12,JOSE VARGAS,0031H00001rEksxQAC,, ,IG,Level 3 - Fully Successful,No,,FRED LOTT,1801,05,Employee,,"  0 hours, (0%)  ",,0 - 40,5,4.40568,No,2.6 - 3.5
5,No issues,3.8,1,2250, $2000-3000 , 2-3% ,2.42,3,5,GABRIELA CAMARILLO,93013,3,12,RAY HENRY,0031H00001rEkrlQAC,,,IRAC,Level 3 - Fully Successful,No,,LEWIS LAROSE,0511,03,Employee,,"  0 hours, (0%)  ",,0 - 40,3,2.41902,Yes,1.6 - 2.5
3,No issues,3.4,1,1250, $1000-2000 , 1-2% ,1.34,3,5,SABRINA CAYETANO,93013,3,12,RAY HENRY,0031H00001rEkrmQAC,,,IRAC,Level 3 - Fully Successful,No,,LEWIS LAROSE,0511,03,Employee,,"  0 hours, (0%)  ",,0 - 30,3,1.3439,Yes,1.1 - 1.5
3,Total Award too Low,3.8,1,,   $0   ,  0%  ,,5,3,SEAN CRILLEY,87198,3,12,ANGELE MONTFORT,0031H00001rEkroQAC,5,Award not submitted,NSSC,Level 3 - Fully Successful,No,,ROBERT WILLIAMS,0301,01,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,,No,1.6 - 2.5
3,Total Award too High,3.4,1,2000,   $0   , 2-3% ,2.66,3,3,Nicole Grace,75176,3,11,ANGELE MONTFORT,0031H00001rD1d4QAC,, ,NSSC,Level 3 - Fully Successful,No,,ROBERT WILLIAMS,0301,02,Employee,,"  0 hours, (0%)  ",,0 - 30,5,2.66042,No,1.1 - 1.5
3,Total Award too Low,3.4,1,1682, $1000-2000 , 1-2% ,1.08,3,3,Chip Colli,155172,3,14,ANGELE MONTFORT,0031H00001rD1d5QAC,,,NSSC,Level 3 - Fully Successful,No,,ROBERT WILLIAMS,0301,08,Employee,,"  0 hours, (0%)  ",,0 - 30,5,1.08396,No,1.1 - 1.5
3,Total Award too Low,3.8,1,1692, $1000-2000 , 1-2% ,1.26,3,3,DAVID COUCHMAN,134798,5,13,ANGELE MONTFORT,0031H00001rEkrnQAC,,,NSSC,Level 3 - Fully Successful,No,,RENE LIBROJO,0318,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,1.25521,No,1.6 - 2.5
5,Total Award too High,5,1,7700,>$5000,>4%,6.19,5,5,Hamid Basirat,124428,5,13,DEFAYE BRUSTER,0031H00001rD1d6QAC,,,OCC,Level 5 - Outstanding,No,,HAROLD LOOMIS,1222,07,Employee,,"  0 hours, (0%)  ",,0 - 40,5,6.18832,No,4.1 - 4.5
5,Total Award too High,5,1,7700,>$5000,>4%,6.75,5,5,Joyce Turner,114059,5,13,DEFAYE BRUSTER,0031H00001rD1d7QAC,,,OCC,Level 5 - Outstanding,No,,HAROLD LOOMIS,0905,04,Employee,,"  0 hours, (0%)  ",,0 - 40,5,6.75089,No,4.1 - 4.5
5,Total Award too High,4.6,1,3185, $3000-4000 , 3-4% ,3.22,5,5,Erin Walsh,98827,3,12,DEFAYE BRUSTER,0031H00001rD1d8QAC,,,OCC,Level 5 - Outstanding,No,,HAROLD LOOMIS,0905,05,Employee,40,"40 hours, (2%)",2,0 - 40,5,5.2228,No,3.6 - 4.0
3,No issues,4.6,1,6350,>$5000, 3-4% ,3.68,5,5,Tom James,172500,5,15,DEFAYE BRUSTER,0031H00001rD1d9QAC,,,OCC,Level 5 - Outstanding,No,,HAROLD LOOMIS,0905,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.68116,Yes,3.6 - 4.0
5,Total Award too High,4.2,1,2082, $2000-3000 , 1-2% ,1.56,3,5,Barry Bronze,133382,3,13,DEFAYE BRUSTER,0031H00001rD1dAQAS,,,OCC,Level 3 - Fully Successful,No,,HAROLD LOOMIS,0905,10,Employee,40,"40 hours, (2%)",2,0 - 40,5,3.56093,No,2.6 - 3.5
3,Total Award too High,4.2,1,4700, $4000-5000 ,>4%,4.19,5,5,Janice Bergman,112172,3,12,DEFAYE BRUSTER,0031H00001rD1dBQAS,,,OCC,Level 3 - Fully Successful,No,,HAROLD LOOMIS,0905,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,4.18999,No,2.6 - 3.5
3,Total Award too High,4.2,1,4400, $4000-5000 ,>4%,6.5,5,5,Alex Johnson,67705,3,10,DEFAYE BRUSTER,0031H00001rD1dCQAS,,,OCC,Level 3 - Fully Successful,No,,HAROLD LOOMIS,0905,02,Employee,,"  0 hours, (0%)  ",,0 - 40,5,6.49878,No,2.6 - 3.5
5,Total Award too Low,5,1,6000,>$5000, 3-4% ,3.48,5,5,Billy Mack,172500,5,15,DEFAYE BRUSTER,0031H00001rD1dDQAS,,,OCC,Level 5 - Outstanding,No,,HAROLD LOOMIS,0905,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.47826,No,4.1 - 4.5
5,Total Award too Low,4.2,1,4200, $4000-5000 , 2-3% ,2.43,3,5,Jon Allegri,172500,3,15,DEFAYE BRUSTER,0031H00001rD1dEQAS,,,OCC,Level 3 - Fully Successful,No,,HAROLD LOOMIS,0306,08,Employee,,"  0 hours, (0%)  ",,0 - 40,5,2.43478,No,2.6 - 3.5
3,Total Award too Low,4.2,1,3750, $3000-4000 , 2-3% ,2.35,5,5,Cristin Hwang,159286,3,14,DEFAYE BRUSTER,0031H00001rD1dFQAS,,,OCC,Level 3 - Fully Successful,No,,HAROLD LOOMIS,0905,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,2.35426,No,2.6 - 3.5
3,Total Award too Low,4.2,1,3900, $3000-4000 , 2-3% ,2.45,3,5,Stella Pavlova,159286,5,14,DEFAYE BRUSTER,0031H00001rD1dGQAS,,,OCC,Level 3 - Fully Successful,No,,HAROLD LOOMIS,0950,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,2.44843,No,2.6 - 3.5
5,Total Award too Low,4.6,1,3126, $3000-4000 , 2-3% ,2.25,5,5,Sandy Knudson,138866,3,14,RAY HENRY,0031H00001rD1dHQAS,,,OD&L,Level 5 - Outstanding,No,,JILL LAROSE,0260,05,Employee,,"  0 hours, (0%)  ",,0 - 40,5,2.25109,No,3.6 - 4.0
5,Total Award too High,5,1,6296,>$5000,>4%,4.67,5,5,Emilee Kendra,134782,5,14,RODOLFO CARRETERO,0031H00001rD1dJQAS,5,,PAC,Level 5 - Outstanding,No,,HERNAN MESA,0801,04,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,4.67125,No,4.1 - 4.5
1,No issues,1,1,,   $0   ,  0%  ,,3,3,Sean Silver,126614,1,14,RODOLFO CARRETERO,0031H00001rD1dKQAS,,on PIP w/ six elements,PAC,Level 1 - Unacceptable,No,,HERNAN MESA,1550,02,Employee,,"  0 hours, (0%)  ",,0,1,,Yes,0
5,No issues,5,1,5779,>$5000,>4%,4.29,5,5,Niki Sullivan,134798,5,13,RODOLFO CARRETERO,0031H00001rD1dLQAS,,,PAC,Level 5 - Outstanding,No,,HERNAN MESA,1301,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,4.28716,Yes,4.1 - 4.5
5,No issues,5,1,,   $0   ,  0%  ,,5,5,Ron Reid,120972,5,13,RODOLFO CARRETERO,0031H00001rD1dtQAC,,,PAC,Level 5 - Outstanding,Yes,Yes,HERNAN MESA,0801,06,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3,Yes,4.1 - 4.5
3,Total Award too High,4.6,1,2400, $2000-3000 , 2-3% ,2.24,5,5,Brad Owens,107146,5,13,ANGELE MONTFORT,0031H00001rD1dIQAS,,,PAC,Level 5 - Outstanding,No,,CASEY MCKINNEY,0806,02,Employee,38,"30-40 hours, (1.5-2%)",1.9,0 - 40,5,4.13993,No,3.6 - 4.0
3,Total Award too High,3,1,1300, $1000-2000 , 1-2% ,1.15,3,3,Peter Foss,113362,3,12,RAY HENRY,0031H00001rD1duQAC,,,Safety,Level 3 - Fully Successful,No,,JOPOND LAROSE,0803,10,Employee,,"  0 hours, (0%)  ",,0 - 20,3,1.14677,No,0.0 - 1.0
3,Total Award too High,3.8,1,1000,   $0   , 1-2% ,1.28,3,3,Bradley Harmon,78167,5,09,RAY HENRY,0031H00001rD1dvQAC,,,Safety,Level 3 - Fully Successful,No,,JOPOND LAROSE,0018,10,Employee,30,"30-40 hours, (1.5-2%)",1.5,0 - 40,5,2.77931,No,1.6 - 2.5
3,Total Award too Low,4.6,1,4400, $4000-5000 , 3-4% ,3.14,5,5,Mike Malmin,139916,5,15,RAY HENRY,0031H00001rD1dwQAC,,,Safety,Level 5 - Outstanding,No,,JOPOND LAROSE,1306,09,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.14474,No,3.6 - 4.0
3,No issues,3.4,1,1600, $1000-2000 , 1-2% ,1.11,3,3,Bonnie Barra,143598,5,15,RAY HENRY,0031H00001rD1dxQAC,,,Safety,Level 3 - Fully Successful,No,,JOPOND LAROSE,1320,10,Employee,,"  0 hours, (0%)  ",,0 - 30,3,1.11422,Yes,1.1 - 1.5
5,No issues,5,1,,   $0   ,  0%  ,,5,5,MIKE LAREAU,128870,5,15,RAY HENRY,0031H00001rEl1eQAC,,,Safety,Level 5 - Outstanding,Yes,Yes,JOPOND LAROSE,0018,06,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3,Yes,4.1 - 4.5
5,No issues,5,1,,   $0   ,  0%  ,,5,5,JOPOND LAREAU,125188,5,15,RAY HENRY,0031H00001rEl1fQAC,,,Safety,Level 5 - Outstanding,Yes,Yes,JOPOND LAROSE,0018,05,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3,Yes,4.1 - 4.5
