Id,Personnel__c,Personnel__c.Competency__c,Personnel__c.Employee_Type__c,Personnel__c.FirstName,Personnel__c.Id,Personnel__c.LastName,Personnel__c.Name,Personnel__c.Pay_Grade__c,Personnel__c.Retirement__c,Personnel__c.SVC__c,Personnel__c.Title,Project__c,Project__c.BT__c,Project__c.Behind__c,Project__c.Budget_FY18__c,Project__c.Budget_FY19__c,Project__c.Budget_FY20__c,Project__c.Committed__c,Project__c.Completion__c,Project__c.Country__c,Project__c.CreatedDate,Project__c.Estimated_Transition_Date__c,Project__c.Expenditure__c,Project__c.Funding_Type__c,Project__c.G_Organization__c,Project__c.G_Priority__c,Project__c.Id,Project__c.Initiation_Date__c,Project__c.Investment__c,Project__c.LOE__c,Project__c.Name,Project__c.Organization__c,Project__c.PO_Status__c,Project__c.Portfolio__c,Project__c.Remaining__c,Project__c.Resource_Utilization__c,Project__c.State__c,Project__c.Status__c,Project__c.SystemModstamp
a011H00000W6mQgQAJ,0031H00001rEkp3QAC,Chemist,Contractor,KEITH,0031H00001rEkp3QAC,KLEMM,KEITH KLEMM,,10,,"COMMANDER,  AVIATION CHERRY POINT",a001H00000k7FhMQAU,5,false,16600000,21580000,28054000,6640000,53,USA,2018-06-14T17:33:01.000Z,2018-10-21,6640000,6.1,B,Medium,a001H00000k7FhMQAU,2017-03-12,-55300000,1,Project 054,AC,Order Created,C3I,3320000,97,NE,Testing,2021-07-05T16:57:16.000Z
a011H00000W6mQhQAJ,0031H00001rEkp4QAC,Physicist,Contractor,NAOMI,0031H00001rEkp4QAC,RICHARDSON,NAOMI RICHARDSON,,15,,"CHIEF, TRANSP & LOG OPS",a001H00000k7FhNQAU,5,false,66800000,86840000,112892000,26720000,47,USA,2018-06-14T17:33:01.000Z,2019-10-25,40080000,6.1,C,Medium,a001H00000k7FhNQAU,2017-08-31,6400000,4,Project 055,GVSC,Quote Provided,Air,,64,LA,Development,2021-07-01T18:40:47.000Z
a011H00000W6mQiQAJ,0031H00001rEkp5QAC,Computer Engineer,Contractor,JOSEPH,0031H00001rEkp5QAC,GILMORE,JOSEPH GILMORE,,10,,"OIC,  MARITIME PORTSMOUTH",a001H00000k7FhOQAU,3,false,41800000,54340000,70642000,29260000,43,USA,2018-06-14T17:33:01.000Z,2019-03-01,4180000,6.1,A,Medium,a001H00000k7FhOQAU,2017-10-06,-29600000,2,Project 056,SC,Order Created,Basic Research,8360000,70,TX,Testing,2021-07-05T16:57:16.000Z
a011H00000W6mQjQAJ,0031H00001rEkp6QAC,Mechanical Engineer,Contractor,ANNE,0031H00001rEkp6QAC,MAZUREK,ANNE MAZUREK,,05,,"OIC,  MARITIME PORTSMOUTH",a001H00000k7FhPQAU,3,false,43200000,56160000,73008000,21600000,59,USA,2018-06-14T17:33:01.000Z,2019-03-08,21600000,6.4,D,Medium,a001H00000k7FhPQAU,2017-03-30,-78900000,3,Project 057,CBC,Order Created,Air,,76,TN,Testing,2021-07-05T16:57:16.000Z
a011H00000W6mQkQAJ,0031H00001rEkp7QAC,Computer Engineer,Contractor,JEFFREY,0031H00001rEkp7QAC,SABO,JEFFREY SABO,,20,,QUALITY ASSURANCE REP - CHEMICALS,a001H00000k7FhQQAU,2,false,83200000,108160000,140608000,16640000,67,USA,2018-06-14T17:33:01.000Z,2018-09-07,41600000,6.1,B,Medium,a001H00000k7FhQQAU,2017-12-12,-60000000,2,Project 058,AC,Received,Air,24960000,51,TX,Design,2021-07-05T16:57:16.000Z
a011H00000W6mQlQAJ,0031H00001rEkp8QAC,Mechanical Engineer,Contractor,MARGARET,0031H00001rEkp8QAC,ANDERSON,MARGARET ANDERSON,,10,,DNACO INTERN,a001H00000k7FhRQAU,4,false,5400000,7020000,9126000,1080000,30,USA,2018-06-14T17:33:01.000Z,2019-10-03,1080000,6.5,A,Medium,a001H00000k7FhRQAU,2017-02-16,-48500000,2,Project 059,SC,Received,Air,3240000,62,UT,Design,2021-07-05T16:57:16.000Z
a011H00000W6mQmQAJ,0031H00001rEkp9QAC,Physicist,Contractor,ANGELIQUE,0031H00001rEkp9QAC,BROUGH,ANGELIQUE BROUGH,,05,,DIVISION CHIEF,a001H00000k7FhSQAU,3,false,60300000,78390000,101907000,30150000,75,USA,2018-06-14T17:33:01.000Z,2019-12-22,12060000,6.4,C,Medium,a001H00000k7FhSQAU,2017-06-29,2900000,3,Project 060,GVSC,Quote Provided,C3I,18090000,55,WV,Development,2021-07-01T18:40:47.000Z
a011H00000W6mQnQAJ,0031H00001rEkpAQAS,Physicist,Contractor,RICHARD,0031H00001rEkpAQAS,BUELL,RICHARD BUELL,,20,,INDUSTRIAL READINESS CELL SUPV,a001H00000k7FhTQAU,2,true,81800000,106340000,138242000,8180000,33,USA,2018-06-14T17:33:01.000Z,2020-02-22,49080000,6.5,C,Medium,a001H00000k7FhTQAU,2017-04-26,-28800000,1,Project 061,GVSC,New,Ground Maneuver,24540000,82,AZ,Not Started,2021-07-01T18:40:47.000Z
a011H00000W6mQoQAJ,0031H00001rEkpBQAS,Aerospace Engineer,Contractor,STANLEY,0031H00001rEkpBQAS,BURDINE,STANLEY BURDINE,,15,,"DEPUTY DIVISION CHIEF, WEAPON SYSTEM SUPPORT",a001H00000k7FhUQAU,1,false,63800000,82940000,107822000,25520000,29,USA,2018-06-14T17:33:01.000Z,2019-03-11,38280000,6.1,B,Medium,a001H00000k7FhUQAU,2017-01-18,-55800000,3,Project 062,C5ISRC,Review in Process,C3I,,93,NC,Deployed,2021-07-05T16:57:16.000Z
a011H00000W6mQpQAJ,0031H00001rEkpCQAS,Computer Engineer,Contractor,AUTUMN,0031H00001rEkpCQAS,DANIEL,AUTUMN DANIEL,,20,,DIVISION CHIEF,a001H00000k7FhVQAU,2,false,92400000,120120000,156156000,18480000,30,USA,2018-06-14T17:33:01.000Z,2019-10-02,55440000,6.5,E,Medium,a001H00000k7FhVQAU,2017-06-03,-80500000,2,Project 063,AvMC,New,Air,18480000,100,CA,Not Started,2021-07-05T16:56:16.000Z
a011H00000W6mQqQAJ,0031H00001rEkpDQAS,Physicist,Contractor,JUSTIN,0031H00001rEkpDQAS,DEBORD,JUSTIN DEBORD,,10,,"DIRECTOR, SUPPLIER OPERATIONS",a001H00000k7FhWQAU,4,false,82000000,106600000,138580000,32800000,54,USA,2018-06-14T17:33:01.000Z,2020-03-24,24600000,6.1,C,Medium,a001H00000k7FhWQAU,2017-07-02,-19100000,3,Project 064,GVSC,Quote Provided,Lethality,24600000,86,TX,Development,2021-07-01T18:40:47.000Z
a011H00000W6mQrQAJ,0031H00001rEkpEQAS,Physicist,Contractor,CHARLES,0031H00001rEkpEQAS,DEIGNAN,CHARLES DEIGNAN,,05,,"CHIEF, JT WPNS SYST SUSTAINMENT DIVISION",a001H00000k7FhXQAU,4,false,62900000,81770000,106301000,12580000,65,USA,2018-06-14T17:33:01.000Z,2018-08-24,18870000,6.3,C,Medium,a001H00000k7FhXQAU,2017-06-15,-95300000,4,Project 065,GVSC,Order Created,C3I,31450000,99,CA,Testing,2021-07-01T18:40:47.000Z
a011H00000W6mQsQAJ,0031H00001rEkpFQAS,Electrical Engineer,Contractor,ALEJANDRO,0031H00001rEkpFQAS,DIAZ,ALEJANDRO DIAZ,,05,,CBRNE NCOIC,a001H00000k7FhYQAU,4,false,7500000,9750000,12675000,1500000,67,USA,2018-06-14T17:33:01.000Z,2020-03-11,3750000,6.6,C,Medium,a001H00000k7FhYQAU,2017-08-28,-44100000,4,Project 066,GVSC,Received,Air,2250000,68,CA,Design,2021-07-01T18:40:47.000Z
a011H00000W6mQtQAJ,0031H00001rEkpGQAS,Aerospace Engineer,Contractor,RYAN,0031H00001rEkpGQAS,DIPAOLO,RYAN DIPAOLO,,15,,INDUSTRIAL READINESS CELL SUPV,a001H00000k7FhZQAU,3,false,20500000,26650000,34645000,12300000,67,USA,2018-06-14T17:33:01.000Z,2019-02-14,10250000,6.6,D,Medium,a001H00000k7FhZQAU,2017-03-21,-66400000,1,Project 067,CBC,Order Created,Lethality,-2050000,51,CA,Testing,2021-07-05T16:57:16.000Z
a011H00000W6mQuQAJ,0031H00001rEkpHQAS,Electrical Engineer,Contractor,DALE,0031H00001rEkpHQAS,FARRAND,DALE FARRAND,,15,,"DIRECTOR, LAND CUSTOMER OPERATIONS",a001H00000k7FhaQAE,4,false,19700000,25610000,33293000,3940000,49,USA,2018-06-14T17:33:01.000Z,2018-08-14,3940000,6.2,B,Medium,a001H00000k7FhaQAE,2017-05-10,-35600000,2,Project 068,C5ISRC,Received,Ground Maneuver,11820000,99,IL,Design,2021-07-05T16:57:16.000Z
a011H00000W6mQvQAJ,0031H00001rEkpIQAS,Chemist,Contractor,JOSHUA,0031H00001rEkpIQAS,FOX,JOSHUA FOX,,05,,DNACO INTERN,a001H00000k7FhbQAE,2,true,14100000,18330000,23829000,4230000,25,USA,2018-06-14T17:33:01.000Z,2019-04-01,2820000,6.3,C,Medium,a001H00000k7FhbQAE,2017-04-21,-34800000,3,Project 069,GVSC,Received,Soldier/Squad,7050000,72,NY,Design,2021-07-01T18:40:47.000Z
a011H00000W6mQwQAJ,0031H00001rEkpJQAS,Computer Engineer,Contractor,TIMOTHY,0031H00001rEkpJQAS,FREEMAN,TIMOTHY FREEMAN,,10,,DIVISION CHIEF,a001H00000k7FhcQAE,3,false,63800000,82940000,107822000,38280000,67,USA,2018-06-14T17:33:01.000Z,2019-08-28,25520000,6.5,B,Low,a001H00000k7FhcQAE,2017-09-12,-21000000,1,Project 070,AC,New,C3I,,66,IL,Not Started,2021-07-05T16:57:16.000Z
a011H00000W6mQxQAJ,0031H00001rEkpKQAS,Aerospace Engineer,Contractor,BRIAN,0031H00001rEkpKQAS,GINNANE,BRIAN GINNANE,,20,,"DIRECTOR, MARITIME CUSTOMER OPERATIONS",a001H00000k7FhdQAE,5,false,95700000,124410000,161733000,38280000,66,USA,2018-06-14T17:33:01.000Z,2020-02-02,47850000,6.4,A,Low,a001H00000k7FhdQAE,2017-03-30,-75200000,3,Project 071,ARL,Received,Ground Maneuver,9570000,93,SC,Design,2021-04-19T12:50:35.000Z
a011H00000W6mQyQAJ,0031H00001rEkpLQAS,Computer Engineer,Contractor,KIRK,0031H00001rEkpLQAS,GREINER,KIRK GREINER,,10,,"DIVISION CHIEF, WEAPON SYSTEM SUPPORT",a001H00000k7FheQAE,4,false,35000000,45500000,59150000,21000000,32,USA,2018-06-14T17:33:01.000Z,2019-04-09,21000000,6.3,D,Low,a001H00000k7FheQAE,2017-03-28,-1600000,1,Project 072,CBC,Received,Air,-7000000,78,CA,Design,2021-07-05T16:57:16.000Z
a011H00000W6mQzQAJ,0031H00001rEkpMQAS,Mechanical Engineer,Contractor,RICHARD,0031H00001rEkpMQAS,GUSTAFSON,RICHARD GUSTAFSON,,05,,CELL/TEAM LEADER,a001H00000k7FhfQAE,1,true,17900000,23270000,30251000,12530000,53,USA,2018-06-14T17:33:01.000Z,2019-02-17,5370000,6.5,C,Low,a001H00000k7FhfQAE,2017-04-29,-14600000,4,Project 073,GVSC,New,Basic Research,,76,MI,Not Started,2021-07-01T18:40:47.000Z
a011H00000W6mR0QAJ,0031H00001rEkpNQAS,Computer Engineer,Contractor,SUZANNAH,0031H00001rEkpNQAS,HALEY,SUZANNAH HALEY,,05,,"NCOIC, JOINT MILITARY PERSONNEL OFFICE",a001H00000k7FhgQAE,1,false,80500000,104650000,136045000,8050000,44,USA,2018-06-14T17:33:01.000Z,2020-03-17,16100000,6.5,D,Low,a001H00000k7FhgQAE,2017-10-25,-85900000,2,Project 074,AvMC,Quote Provided,Ground Maneuver,56350000,57,MS,Development,2021-07-05T16:56:16.000Z
a011H00000W6mR1QAJ,0031H00001rEkpOQAS,Electrical Engineer,Contractor,YEE,0031H00001rEkpOQAS,HANG,YEE HANG,,05,,"DIRECTOR, LAND SUPPLY CHAIN SUPPLIER OPNS",a001H00000k7FhhQAE,2,false,3300000,4290000,5577000,990000,43,USA,2018-06-14T17:33:01.000Z,2020-02-29,660000,6.1,B,Low,a001H00000k7FhhQAE,2017-04-07,-39500000,1,Project 075,C5ISRC,Received,C3I,1650000,73,NV,Design,2021-07-05T16:57:16.000Z
a011H00000W6mR2QAJ,0031H00001rEkpPQAS,Chemist,Contractor,JOSHUA,0031H00001rEkpPQAS,HARDING,JOSHUA HARDING,,15,,IST CHIEF,a001H00000k7FhiQAE,5,false,32700000,42510000,55263000,19620000,63,USA,2018-06-14T17:33:01.000Z,2019-05-03,3270000,6.1,B,Low,a001H00000k7FhiQAE,2017-09-11,4600000,3,Project 076,C5ISRC,Quote Approved,C3I,9810000,51,CA,Requirement,2021-07-05T16:57:16.000Z
a011H00000W6mR3QAJ,0031H00001rEkpQQAS,Electrical Engineer,Contractor,MATTHEW,0031H00001rEkpQQAS,HARNLY,MATTHEW HARNLY,,20,,CHIEF OF STAFF,a001H00000k7FhjQAE,4,true,84000000,109200000,141960000,25200000,27,USA,2018-06-14T17:33:01.000Z,2019-01-15,25200000,6.1,C,Low,a001H00000k7FhjQAE,2017-03-02,-83600000,4,Project 078,GVSC,Review in Process,Ground Maneuver,33600000,51,CO,Deployed,2021-07-01T18:40:47.000Z
a011H00000W6mR4QAJ,0031H00001rEkpRQAS,Aerospace Engineer,Contractor,ERIC,0031H00001rEkpRQAS,JAFAR,ERIC JAFAR,,10,,DIVISION CHIEF,a001H00000k7FhkQAE,5,false,58500000,76050000,98865000,5850000,34,USA,2018-06-14T17:33:01.000Z,2019-07-17,35100000,6.1,C,Low,a001H00000k7FhkQAE,2017-08-31,-10800000,4,Project 079,GVSC,Received,Soldier/Squad,17550000,71,FL,Design,2021-07-01T18:40:47.000Z
a011H00000W6mR5QAJ,0031H00001rEkpSQAS,Computer Engineer,Contractor,MICHAEL,0031H00001rEkpSQAS,LABBE,MICHAEL LABBE,,20,,"DEPUTY, READINESS DIV CHIEF",a001H00000k7FhlQAE,5,false,93000000,120900000,157170000,55800000,71,USA,2018-06-14T17:33:01.000Z,2019-11-11,18600000,6.3,B,Low,a001H00000k7FhlQAE,2017-08-18,-72600000,1,Project 080,AC,Order Created,Basic Research,18600000,74,FL,Testing,2021-07-05T16:57:16.000Z
a011H00000W6mR6QAJ,0031H00001rEkpTQAS,Mechanical Engineer,Contractor,MAGGIE,0031H00001rEkpTQAS,LADD,MAGGIE LADD,,10,,MATERIEL MANAGEMENT CAREER BROADENER,a001H00000k7FhmQAE,3,true,43200000,56160000,73008000,21600000,54,USA,2018-06-14T17:33:01.000Z,2019-03-23,12960000,6.2,D,Low,a001H00000k7FhmQAE,2017-09-03,-52500000,4,Project 081,AvMC,Received,Lethality,8640000,95,KS,Design,2021-07-05T16:56:16.000Z
a011H00000W6mR7QAJ,0031H00001rEkpUQAS,Electrical Engineer,Contractor,DAVID,0031H00001rEkpUQAS,LOCKNEY,DAVID LOCKNEY,,05,,"DIRECTOR, MARITIME CUSTOMER OPERATIONS",a001H00000k7FhnQAE,4,false,96300000,125190000,162747000,9630000,63,USA,2018-06-14T17:33:01.000Z,2018-12-24,9630000,6.4,E,Low,a001H00000k7FhnQAE,2017-02-07,-64400000,1,Project 082,AvMC,Quote Provided,Lethality,77040000,59,SC,Development,2021-07-05T16:56:16.000Z
a011H00000W6mR8QAJ,0031H00001rEkpVQAS,Aerospace Engineer,Contractor,ANAS,0031H00001rEkpVQAS,MAAZOUZI,ANAS MAAZOUZI,,05,,CELL/TEAM LEADER,a001H00000k7FhoQAE,1,false,41100000,53430000,69459000,24660000,59,USA,2018-06-14T17:33:01.000Z,2018-12-21,16440000,6.6,D,Low,a001H00000k7FhoQAE,2017-10-07,-98900000,4,Project 083,AvMC,Review in Process,Lethality,,96,MO,Deployed,2021-07-05T16:56:16.000Z
a011H00000W6mR9QAJ,0031H00001rEkpWQAS,Mechanical Engineer,Contractor,LOC,0031H00001rEkpWQAS,NGUYEN,LOC NGUYEN,,15,,DNACO INTERN,a001H00000k7FhpQAE,3,false,80800000,105040000,136552000,8080000,42,USA,2018-06-14T17:33:01.000Z,2019-09-22,48480000,6.5,C,Low,a001H00000k7FhpQAE,2017-09-26,-37600000,1,Project 084,GVSC,Received,Air,24240000,90,VA,Design,2021-07-01T18:40:47.000Z
a011H00000W6mRAQAZ,0031H00001rEkpXQAS,Aerospace Engineer,Contractor,BRANDOLYN,0031H00001rEkpXQAS,ROBERTS,BRANDOLYN ROBERTS,,05,,DIVISION CHIEF,a001H00000k7FhqQAE,1,false,47400000,61620000,80106000,9480000,73,USA,2018-06-14T17:33:01.000Z,2019-02-28,4740000,6.3,A,Low,a001H00000k7FhqQAE,2017-07-31,-57500000,1,Project 085,SC,Received,C3I,33180000,76,OH,Design,2021-07-05T16:57:16.000Z
a011H00000W6mRBQAZ,0031H00001rEkpYQAS,Mechanical Engineer,Contractor,DESSIE,0031H00001rEkpYQAS,RODRIGUEZ,DESSIE RODRIGUEZ,,05,,MATERIEL MANAGEMENT CAREER BROADENER,a001H00000k7FhrQAE,2,false,75100000,97630000,126919000,15020000,40,USA,2018-06-14T17:33:01.000Z,2019-06-18,15020000,6.1,C,Low,a001H00000k7FhrQAE,2017-11-28,-59500000,4,Project 086,GVSC,New,Air,45060000,88,DE,Not Started,2021-07-01T18:40:47.000Z
a011H00000W6mRCQAZ,0031H00001rEkpZQAS,Chemist,Contractor,JUAN,0031H00001rEkpZQAS,SANCHEZ,JUAN SANCHEZ,,20,,UNIT CHIEF,a001H00000k7FhsQAE,2,false,38000000,49400000,64220000,26600000,55,USA,2018-06-14T17:33:01.000Z,2020-02-11,22800000,6.2,C,Low,a001H00000k7FhsQAE,2017-06-06,-11500000,1,Project 087,GVSC,Quote Provided,C3I,-11400000,87,TX,Development,2021-07-01T18:40:47.000Z
a011H00000W6mRDQAZ,0031H00001rEkpaQAC,Mechanical Engineer,Contractor,MICHAEL,0031H00001rEkpaQAC,SARGENT,MICHAEL SARGENT,,05,,"CELL TEAM LEAD, MARITIME CUST OPERATIONS",a001H00000k7FhtQAE,4,false,77400000,100620000,130806000,23220000,54,USA,2018-06-14T17:33:01.000Z,2019-04-25,15480000,6.3,D,Low,a001H00000k7FhtQAE,2017-11-19,-16100000,4,Project 088,AvMC,New,Soldier/Squad,38700000,67,MD,Not Started,2021-07-05T16:56:16.000Z
a011H00000W6mREQAZ,0031H00001rEkpbQAC,Aerospace Engineer,Contractor,JOSEPH,0031H00001rEkpbQAC,SCARPILL,JOSEPH SCARPILL,,20,,"CHIEF, LAND READINESS",a001H00000k7FhuQAE,4,false,65400000,85020000,110526000,19620000,35,USA,2018-06-14T17:33:01.000Z,2019-10-11,6540000,6.1,D,Low,a001H00000k7FhuQAE,2017-09-24,-17300000,4,Project 089,AvMC,Quote Provided,Soldier/Squad,39240000,70,WV,Development,2021-07-05T16:56:16.000Z
a011H00000W6mRFQAZ,0031H00001rEkpcQAC,Aerospace Engineer,Contractor,JEFFREY,0031H00001rEkpcQAC,SCHMIDT,JEFFREY SCHMIDT,,20,,"DIRECTOR, STRATEGIC ACQUISITION PRGM",a001H00000k7FhvQAE,4,false,42000000,54600000,70980000,12600000,64,USA,2018-06-14T17:33:01.000Z,2019-08-19,21000000,6.3,B,Low,a001H00000k7FhvQAE,2017-09-17,-54500000,1,Project 090,C5ISRC,Quote Provided,Ground Maneuver,8400000,87,NV,Development,2021-07-05T16:57:16.000Z
a011H00000W6mRGQAZ,0031H00001rEkpdQAC,Mechanical Engineer,Contractor,JEFFREY,0031H00001rEkpdQAC,SCOTT,JEFFREY SCOTT,,05,,"DEPUTY DIVISION CHIEF, INDUSTRIAL SUPT DIV",a001H00000k7FhwQAE,3,false,43600000,56680000,73684000,21800000,57,USA,2018-06-14T17:33:01.000Z,2019-12-14,8720000,6.4,D,Low,a001H00000k7FhwQAE,2017-08-02,-27800000,2,Project 091,AvMC,Received,C3I,13080000,100,FL,Design,2021-07-05T16:56:16.000Z
a011H00000W6mRHQAZ,0031H00001rEkpeQAC,Physicist,Contractor,DONALD,0031H00001rEkpeQAC,SHERMAN,DONALD SHERMAN,,05,,WEAPONS SYSTEM SUPPORT MANAGER,a001H00000k7FhxQAE,1,false,14900000,19370000,25181000,10430000,71,USA,2018-06-14T17:33:01.000Z,2020-01-27,4470000,6.4,C,Low,a001H00000k7FhxQAE,2017-05-17,-91800000,2,Project 092,GVSC,Received,Basic Research,,69,CA,Design,2021-07-01T18:40:47.000Z
a011H00000W6mRIQAZ,0031H00001rEkpfQAC,Aerospace Engineer,Contractor,MICHELLE,0031H00001rEkpfQAC,SKUBIC,MICHELLE SKUBIC,,05,,"COMMANDER,  LAND AND MARITIME",a001H00000k7FhyQAE,1,false,80600000,104780000,136214000,24180000,61,USA,2018-06-14T17:33:01.000Z,2018-10-11,16120000,6.2,C,Low,a001H00000k7FhyQAE,2017-12-07,-83200000,2,Project 093,GVSC,Received,Soldier/Squad,40300000,79,WV,Design,2021-07-01T18:40:47.000Z
a011H00000W6mRJQAZ,0031H00001rEkpgQAC,Physicist,Contractor,RAMESH,0031H00001rEkpgQAC,THAPA,RAMESH THAPA,,05,,MATERIEL MANAGEMENT CAREER BROADENER,a001H00000k7FhzQAE,5,false,8200000,10660000,13858000,820000,62,USA,2018-06-14T17:33:01.000Z,2019-09-26,2460000,6.2,B,Low,a001H00000k7FhzQAE,2017-05-08,-62200000,4,Project 094,C5ISRC,Quote Provided,Lethality,4920000,96,MI,Development,2021-07-05T16:57:16.000Z
a011H00000W6mRKQAZ,0031H00001rEkphQAC,Electrical Engineer,Contractor,ALAN,0031H00001rEkphQAC,THOMPSON,ALAN THOMPSON,,05,,CELL/TEAM LEADER,a001H00000k7Fi0QAE,3,false,14900000,19370000,25181000,4470000,33,USA,2018-06-14T17:33:01.000Z,2019-10-02,2980000,6.6,A,Low,a001H00000k7Fi0QAE,2017-06-17,-91100000,4,Project 095,SC,Quote Provided,Ground Maneuver,7450000,92,NC,Development,2021-07-05T16:57:16.000Z
a011H00000W6mRLQAZ,0031H00001rEkpiQAC,Computer Engineer,Contractor,VACANT BILLET,0031H00001rEkpiQAC,VACANT BILLET,VACANT BILLET VACANT BILLET,,20,,"DIVISION CHIEF, OPERATIONS SUPPORT",a001H00000k7Fi1QAE,4,true,79400000,103220000,134186000,55580000,30,USA,2018-06-14T17:33:01.000Z,2018-07-17,39700000,6.3,D,Low,a001H00000k7Fi1QAE,2017-08-05,-43900000,4,Project 096,AvMC,Quote Provided,Basic Research,-15880000,82,IL,Development,2021-07-05T16:56:16.000Z
a011H00000W6mRMQAZ,0031H00001rEkpjQAC,Computer Engineer,Contractor,VACANT BILLET,0031H00001rEkpjQAC,VACANT BILLET,VACANT BILLET VACANT BILLET,,05,,"DEPUTY DIVISION CHIEF, OPERATIONS SUPPORT",a001H00000k7Fi2QAE,2,false,95100000,123630000,160719000,19020000,26,USA,2018-06-14T17:33:01.000Z,2018-09-14,28530000,6.4,C,Low,a001H00000k7Fi2QAE,2017-05-03,-91100000,2,Project 097,GVSC,Order Created,C3I,47550000,58,WV,Testing,2021-07-01T18:40:47.000Z
a011H00000W6mRNQAZ,0031H00001rEkpkQAC,Physicist,Contractor,VACANT BILLET,0031H00001rEkpkQAC,VACANT BILLET,VACANT BILLET VACANT BILLET,,20,,"DIVISION CHIEF, STRATEGIC ACQ PRGM",a001H00000k7Fi3QAE,1,false,93900000,122070000,158691000,37560000,74,USA,2018-06-14T17:33:01.000Z,2019-01-09,28170000,6.4,B,Low,a001H00000k7Fi3QAE,2017-04-25,-53400000,2,Project 099,C5ISRC,Order Created,Ground Maneuver,28170000,90,CA,Testing,2021-07-05T16:57:16.000Z
a011H00000W6mROQAZ,0031H00001rEkplQAC,Mechanical Engineer,Contractor,VACANT BILLET,0031H00001rEkplQAC,VACANT BILLET,VACANT BILLET VACANT BILLET,,10,,INTEGRATED SUPPORT TEAM CHIEF,a001H00000k7Fi4QAE,1,false,50600000,65780000,85514000,10120000,29,USA,2018-06-14T17:33:01.000Z,2020-04-11,20240000,6.2,B,Low,a001H00000k7Fi4QAE,2017-07-14,-68600000,1,Project 100,C5ISRC,Quote Provided,Basic Research,20240000,71,FL,Development,2021-07-05T16:57:16.000Z
a011H00000W6mRPQAZ,0031H00001rEkpmQAC,Mechanical Engineer,Contractor,VACANT BILLET,0031H00001rEkpmQAC,VACANT BILLET,VACANT BILLET VACANT BILLET,,05,,CONTRACTING OFFICER,a001H00000k7Fi5QAE,4,false,3200000,4160000,5408000,1280000,60,USA,2018-06-14T17:33:01.000Z,2020-02-16,320000,6.2,A,Low,a001H00000k7Fi5QAE,2017-10-30,-87000000,2,Project 101,ARL,Quote Provided,Ground Maneuver,1600000,75,GA,Development,2021-04-19T12:50:35.000Z
a011H00000W6mRQQAZ,0031H00001rEkpnQAC,Electrical Engineer,Contractor,VACANT BILLET,0031H00001rEkpnQAC,VACANT BILLET,VACANT BILLET VACANT BILLET,,10,,"MILITARY DEP DIR, STRATEGIC ACQ PRGM",a001H00000k7Fi6QAE,2,false,38000000,49400000,64220000,7600000,52,USA,2018-06-14T17:33:01.000Z,2018-06-15,7600000,6.1,B,Low,a001H00000k7Fi6QAE,2017-03-15,-41400000,4,Project 102,C5ISRC,Order Created,C3I,22800000,73,NV,Testing,2021-07-05T16:57:16.000Z
a011H00000W6mRRQAZ,0031H00001rEkpoQAC,Aerospace Engineer,Contractor,CESAR,0031H00001rEkpoQAC,VALENZUELA,CESAR VALENZUELA,,15,,DNACO INTERN,a001H00000k7Fi7QAE,5,false,78200000,101660000,132158000,46920000,37,USA,2018-06-14T17:33:01.000Z,2020-02-04,46920000,6.5,A,Low,a001H00000k7Fi7QAE,2017-04-09,-14100000,3,Project 103,SC,Quote Provided,Lethality,-15640000,52,LA,Development,2021-07-05T16:57:16.000Z
a011H00000W6mRSQAZ,0031H00001rEkppQAC,Electrical Engineer,Contractor,MICHAEL,0031H00001rEkppQAC,WEBER,MICHAEL WEBER,,05,,"CHIEF, LAND DEMAND PLANNING IPT",a001H00000k7Fi8QAE,1,false,76800000,99840000,129792000,23040000,46,USA,2018-06-14T17:33:01.000Z,2020-01-23,7680000,6.3,A,Low,a001H00000k7Fi8QAE,2017-03-23,-75700000,1,Project 104,SC,Received,C3I,46080000,52,OR,Design,2021-07-05T16:57:16.000Z
a011H00000W6mRTQAZ,0031H00001rEkpqQAC,Aerospace Engineer,Contractor,JAMES,0031H00001rEkpqQAC,MALEC,JAMES MALEC,,10,,"COMMANDER,  OKLAHOMA CITY",a001H00000k7Fi9QAE,1,false,45900000,59670000,77571000,18360000,27,USA,2018-06-14T17:33:01.000Z,2019-06-25,18360000,6.2,C,Low,a001H00000k7Fi9QAE,2017-01-23,-42600000,4,Project 105,GVSC,Quote Provided,Air,9180000,66,AZ,Development,2021-07-01T18:40:47.000Z
a011H00000W6mRUQAZ,0031H00001rEkprQAC,Electrical Engineer,Contractor,JOSHUA,0031H00001rEkprQAC,MCNELLEY,JOSHUA MCNELLEY,,05,,INTEGRATED LOGISTICS SUPPORT OFFICER,a001H00000k7FiAQAU,1,true,39000000,50700000,65910000,3900000,38,USA,2018-06-14T17:33:01.000Z,2018-10-12,3900000,6.6,C,Low,a001H00000k7FiAQAU,2017-11-04,-56400000,2,Project 106,GVSC,Quote Provided,Basic Research,31200000,60,OH,Development,2021-07-01T18:40:47.000Z
